# filename centered visit detector band date_mid_tai mjd_mid_tai exp_time rot_pa ra_horizons dec_horizons 
cutout-2025062000620-104-z-ctr.fits True  2025062000620 104 z 2025-06-21T08:11:32.665 60847.341350 30.00  30.09 276.51285 -18.75570 
cutout-2025062100383-038-g-ctr.fits True  2025062100383  38 g 2025-06-22T02:32:47.429 60848.106105 30.00 178.23 276.18329 -18.75392 
cutout-2025062100431-038-r-ctr.fits True  2025062100431  38 r 2025-06-22T03:07:49.625 60848.130435 30.00 178.23 276.17263 -18.75387 
cutout-2025062300417-077-i-box.fits False 2025062300417  77 i 2025-06-24T03:07:46.213 60850.130396 30.00 139.79 275.28483 -18.74717 
cutout-2025062900393-009-i-ctr.fits True  2025062900393   9 i 2025-06-30T02:26:26.639 60856.101697 30.00 214.30 272.43253 -18.70628 
cutout-2025070100200-119-i-box.fits False 2025070100200 119 i 2025-07-02T00:44:25.734 60858.030853 30.00 115.36 271.44738 -18.68487 
cutout-2025070100248-119-z-ctr.fits True  2025070100248 119 z 2025-07-02T01:20:33.931 60858.055948 30.00 115.36 271.43429 -18.68459 
cutout-2025070100350-119-z-ctr.fits True  2025070100350 119 z 2025-07-02T02:31:16.539 60858.105053 30.00 110.96 271.40863 -18.68401 
cutout-2025070100399-119-i-ctr.fits True  2025070100399 119 i 2025-07-02T03:33:02.401 60858.147944 30.00 110.96 271.38618 -18.68350 
cutout-2025070200188-006-i-ctr.fits True  2025070200188   6 i 2025-07-03T01:53:12.949 60859.078622 30.00 214.02 270.89922 -18.67137 
cutout-2025070200274-006-z-ctr.fits True  2025070200274   6 z 2025-07-03T03:03:56.766 60859.127740 30.00 214.02 270.87313 -18.67072 
cutout-2025070200479-094-r-ctr.fits True  2025070200479  94 r 2025-07-03T06:25:00.588 60859.267368 30.00  26.95 270.79883 -18.66877 
cutout-2025070200480-094-r-ctr.fits True  2025070200480  94 r 2025-07-03T06:27:17.374 60859.268951 30.00  26.95 270.79799 -18.66874 
cutout-2025070200481-094-r-ctr.fits True  2025070200481  94 r 2025-07-03T06:32:03.644 60859.272264 30.00  26.95 270.79622 -18.66869 
cutout-2025070200482-094-r-ctr.fits True  2025070200482  94 r 2025-07-03T06:36:22.936 60859.275265 30.00  26.95 270.79463 -18.66865 
cutout-2025070200483-094-r-ctr.fits True  2025070200483  94 r 2025-07-03T06:48:53.518 60859.283953 30.00  26.95 270.79000 -18.66852 
cutout-2025070200484-094-r-ctr.fits True  2025070200484  94 r 2025-07-03T06:49:27.817 60859.284350 30.00  26.95 270.78979 -18.66852 
cutout-2025070200485-094-r-ctr.fits True  2025070200485  94 r 2025-07-03T06:50:17.900 60859.284929 30.00  26.95 270.78948 -18.66851 
cutout-2025070200486-094-r-ctr.fits True  2025070200486  94 r 2025-07-03T06:50:52.210 60859.285326 30.00  26.95 270.78927 -18.66850 
cutout-2025070200487-094-r-ctr.fits True  2025070200487  94 r 2025-07-03T06:51:47.398 60859.285965 30.00  26.95 270.78893 -18.66849 
